"locationid","locationname","time","s0001","s0002","s0005","s0010","s0025","s0050","s0100","s0250","s0500","s1000","surgedist_location","surgedist_scale","surgedist_number_events","surgedist_shape","surgedist_type"
"CLS_ABW_00000","8850",1995,0.634496385430081,0.668455916862492,0.668455916862492,0.690452985974312,0.698442799053861,0.703355228641187,0.707515982893363,0.707515982893363,0.707515982893363,0.717401383419461,0.24657483720308,0.0155836381111022,5,-0.226375293014573,"GEV"
"CLS_AGO_00000","2745",1995,1.11958541044359,1.22832837679299,1.22832837679299,1.29460901911397,1.31757205434383,1.33131681653174,1.34269883464042,1.34269883464042,1.34269883464042,1.36854545152284,0.889842057543227,0.0488622864985576,5,-0.258546847103797,"GEV"
"CLS_AGO_00001","2774",1995,0.876208295474131,0.966766983819441,0.966766983819441,1.02629315062558,1.04816165089286,1.06169446724062,1.07321910329515,1.07321910329515,1.07321910329515,1.10090221936788,0.724956453064927,0.0417658774686971,5,-0.218611874842612,"GEV"
"CLS_AGO_00002","2741",1995,1.12500634073628,1.23422397561843,1.23422397561843,1.30062404414527,1.32358270686065,1.33730936235336,1.34866562327458,1.34866562327458,1.34866562327458,1.37440504326304,0.893482523108498,0.0490319024061752,5,-0.259898292684961,"GEV"
"CLS_AGO_00003","2761",1995,1.03954424844834,1.14509285652583,1.14509285652583,1.20706538418057,1.22791867599265,1.24019626580388,1.25022336191504,1.25022336191504,1.25022336191504,1.27237353588493,0.823582213236827,0.0468106182167961,5,-0.278321620678136,"GEV"
"CLS_AGO_00004","2762",1995,1.03354672286491,1.1384434133283,1.1384434133283,1.19955795484497,1.21999844807596,1.23199189507657,1.24175884666243,1.24175884666243,1.24175884666243,1.26321180659631,0.821089531525992,0.0463949402444633,5,-0.282417934957038,"GEV"
"CLS_AGO_00005","2776",1995,0.85297019172945,0.940656611027106,0.940656611027106,0.999875455297697,1.02209117156834,1.03600368951885,1.0479711188236,1.0479711188236,1.0479711188236,1.07730705520478,0.707543405114933,0.0408159289440994,5,-0.204302009741389,"GEV"
"CLS_AGO_00006","2773",1995,0.894300818170394,0.985985884876463,0.985985884876463,1.04625804004901,1.06840219079273,1.08210614773111,1.09377692996017,1.09377692996017,1.09377692996017,1.12181304911062,0.73379177778376,0.0422867086789285,5,-0.218562767842723,"GEV"
"CLS_AGO_00007","2757",1995,1.05283795797528,1.15906206388978,1.15906206388978,1.2219319434263,1.24321971037574,1.25579744191742,1.26610015972674,1.26610015972674,1.26610015972674,1.28899357963703,0.831088345135718,0.0472426269870547,5,-0.274092642492094,"GEV"
"CLS_AGO_00008","2775",1995,0.876383210536807,0.965506479009229,0.965506479009229,1.02552105124575,1.04798477731324,1.06203461793018,1.07410715818238,1.07410715818238,1.07410715818238,1.10363622086738,0.724275628145182,0.0414437903510336,5,-0.205838973691125,"GEV"
"CLS_AGO_00009","2765",1995,1.01852024962083,1.12119648591279,1.12119648591279,1.18138881109594,1.20161848115672,1.21352072763126,1.22323567774079,1.22323567774079,1.22323567774079,1.24467176617904,0.811840736619764,0.0455118417618065,5,-0.279144216155759,"GEV"
"CLS_AGO_00010","2760",1995,1.04742641699147,1.15382254043789,1.15382254043789,1.21711498372141,1.23863098788936,1.25137212439495,1.26182836664886,1.26182836664886,1.26182836664886,1.28515009153669,0.830484729328828,0.0474034700696869,5,-0.271405693340586,"GEV"
"CLS_AGO_00011","719",1995,1.03552918477292,1.14119083388154,1.14119083388154,1.20017140904703,1.21924798568235,1.2302313951047,1.23903499609992,1.23903499609992,1.23903499609992,1.25777496903014,0.824028870000059,0.0460308963887268,5,-0.305056123675508,"GEV"
"CLS_AGO_00012","2764",1995,1.02629961965429,1.12964871976191,1.12964871976191,1.19115513526255,1.21207103848526,1.22445917647672,1.23462735286004,1.23462735286004,1.23462735286004,1.25731379874422,0.815781433163918,0.0460528764674249,5,-0.27117717011524,"GEV"
"CLS_AGO_00013","2772",1995,0.943746473242112,1.04180832615596,1.04180832615596,1.09853383065892,1.11740061639232,1.12843578821986,1.13739857879291,1.13739857879291,1.13739857879291,1.15698210983809,0.767855228933472,0.0432628604728505,5,-0.286198310383016,"GEV"
"CLS_AGO_00014","2753",1995,1.12667633882965,1.23994817861518,1.23994817861518,1.3069707793078,1.32965975534707,1.34306374304371,1.35404214015967,1.35404214015967,1.35404214015967,1.37843199634757,0.903183633904906,0.0503721798359503,5,-0.2742390413218,"GEV"
"CLS_AGO_00015","2755",1995,1.07990086803946,1.1939334184289,1.1939334184289,1.25814774729716,1.27906050727883,1.29114791190251,1.30086797679262,1.30086797679262,1.30086797679262,1.32169191351398,0.867238680116119,0.0498327161171557,5,-0.300415004277862,"GEV"
"CLS_AGO_00016","721",1995,0.901746257478979,0.994332571710536,0.994332571710536,1.05163836885189,1.07173071315962,1.08383892802998,1.093922942782,1.093922942782,1.093922942782,1.11708389462288,0.742385604432162,0.0418250947741691,5,-0.250428852010176,"GEV"
"CLS_AGO_00017","2771",1995,0.976777067891711,1.07627934776319,1.07627934776319,1.13306987811592,1.15176074615753,1.1626283109684,1.17141111460682,1.17141111460682,1.17141111460682,1.19041319520252,0.776596872583289,0.0436905448757887,5,-0.293304025420674,"GEV"
"CLS_AGO_00018","2759",1995,1.04673606526825,1.15344812070468,1.15344812070468,1.2157278468589,1.23658620114583,1.2488341729522,1.25881478988422,1.25881478988422,1.25881478988422,1.28076492423179,0.830201973369957,0.0472265716438357,5,-0.281504116957195,"GEV"
"CLS_AGO_00019","719",1995,1.03552918477292,1.14119083388154,1.14119083388154,1.20017140904703,1.21924798568235,1.2302313951047,1.23903499609992,1.23903499609992,1.23903499609992,1.25777496903014,0.824028870000059,0.0460308963887268,5,-0.305056123675508,"GEV"
"CLS_AGO_00020","2743",1995,1.1212997917073,1.22963320828463,1.22963320828463,1.29590258002179,1.31892623158364,1.33272920813108,1.34417471220443,1.34417471220443,1.34417471220443,1.37023490557199,0.891184014258497,0.0487393621909262,5,-0.256641179811429,"GEV"
"CLS_AGO_00021","2766",1995,1.00133609983687,1.10055126723125,1.10055126723125,1.15851811129177,1.17794839047091,1.18936323677894,1.19866867671044,1.19866867671044,1.19866867671044,1.21915014368006,0.784953143969877,0.0439254061487374,5,-0.28093376603125,"GEV"
"CLS_AGO_00022","716",1995,1.53621242804449,1.6746166838173,1.6746166838173,1.75891691058853,1.78810682248916,1.80557330969153,1.82003350254939,1.82003350254939,1.82003350254939,1.85285300001015,1.33297661528224,0.0621749420062193,5,-0.258919769646532,"GEV"
"CLS_AGO_00023","716",1995,1.53621242804449,1.6746166838173,1.6746166838173,1.75891691058853,1.78810682248916,1.80557330969153,1.82003350254939,1.82003350254939,1.82003350254939,1.85285300001015,1.33297661528224,0.0621749420062193,5,-0.258919769646532,"GEV"
"CLS_AGO_00024","2768",1995,0.996117263818959,1.09626897342815,1.09626897342815,1.15282092722734,1.17127772980637,1.18195849771249,1.1905561185007,1.1905561185007,1.1905561185007,1.20901219675822,0.779660799386636,0.0438091464578373,5,-0.298970679165992,"GEV"
"CLS_AGO_00025","2767",1995,0.999153397244177,1.09894469732702,1.09894469732702,1.15561571730512,1.17419426935808,1.18497265232285,1.19366722877523,1.19366722877523,1.19366722877523,1.2124095675826,0.781652320809278,0.043739875640589,5,-0.29595193301257,"GEV"
"CLS_AGO_00026","2769",1995,0.996722251415115,1.09627563419774,1.09627563419774,1.15312560511627,1.1718438400324,1.18272987914938,1.19152935048582,1.19152935048582,1.19152935048582,1.21057492428906,0.780481729333666,0.0437212194238145,5,-0.293022334893612,"GEV"
"CLS_AGO_00027","2770",1995,0.988577854419558,1.08832103371539,1.08832103371539,1.14531262489046,1.16408606047843,1.17500701786279,1.18383662379077,1.18383662379077,1.18383662379077,1.20295559185883,0.781294175895144,0.0438136104393624,5,-0.29271383341598,"GEV"
"CLS_AIA_00000","8911",1995,0.760989867177568,0.791521935016511,0.791521935016511,0.817180106741109,0.828560677522529,0.836406358153966,0.843724939681229,0.843724939681229,0.843724939681229,0.864924990364785,0.172412508922907,0.015277563738243,5,-0.0886591431437336,"GEV"
"CLS_AIA_00001","8912",1995,0.761149110496486,0.791830392276443,0.791830392276443,0.817256400030407,0.828414950239675,0.836060606966627,0.843155769136515,0.843155769136515,0.843155769136515,0.863487307944788,0.172726311881185,0.0152833015708222,5,-0.0960471119282666,"GEV"
"CLS_AIA_00002","8911",1995,0.760989867177568,0.791521935016511,0.791521935016511,0.817180106741109,0.828560677522529,0.836406358153966,0.843724939681229,0.843724939681229,0.843724939681229,0.864924990364785,0.172412508922907,0.015277563738243,5,-0.0886591431437336,"GEV"
"CLS_AIA_00003","8914",1995,0.761300200410977,0.792188474522892,0.792188474522892,0.817412404760938,0.828359132070629,0.835811431376671,0.842689557769641,0.842689557769641,0.842689557769641,0.862176231210269,0.173081355883228,0.0153134182034779,5,-0.103825689655938,"GEV"
"CLS_AIA_00004","8912",1995,0.761149110496486,0.791830392276443,0.791830392276443,0.817256400030407,0.828414950239675,0.836060606966627,0.843155769136515,0.843155769136515,0.843155769136515,0.863487307944788,0.172726311881185,0.0152833015708222,5,-0.0960471119282666,"GEV"
"CLS_AIA_00005","8914",1995,0.761300200410977,0.792188474522892,0.792188474522892,0.817412404760938,0.828359132070629,0.835811431376671,0.842689557769641,0.842689557769641,0.842689557769641,0.862176231210269,0.173081355883228,0.0153134182034779,5,-0.103825689655938,"GEV"
"CLS_AIA_00006","8914",1995,0.761300200410977,0.792188474522892,0.792188474522892,0.817412404760938,0.828359132070629,0.835811431376671,0.842689557769641,0.842689557769641,0.842689557769641,0.862176231210269,0.173081355883228,0.0153134182034779,5,-0.103825689655938,"GEV"
"CLS_AIA_00007","8914",1995,0.761300200410977,0.792188474522892,0.792188474522892,0.817412404760938,0.828359132070629,0.835811431376671,0.842689557769641,0.842689557769641,0.842689557769641,0.862176231210269,0.173081355883228,0.0153134182034779,5,-0.103825689655938,"GEV"
"CLS_AIA_00008","8914",1995,0.761300200410977,0.792188474522892,0.792188474522892,0.817412404760938,0.828359132070629,0.835811431376671,0.842689557769641,0.842689557769641,0.842689557769641,0.862176231210269,0.173081355883228,0.0153134182034779,5,-0.103825689655938,"GEV"
